-0.038668 0.640313 -0.001476 -0.000027 0.001285 0.000131 -0.036038 0.664858
-0.066925 0.665343 -0.001810 -0.000232 0.001713 0.000195 -0.061940 0.661152
-0.084519 0.614499 -0.001900 -0.000548 0.001938 0.000177 -0.074460 0.581783
-0.082818 0.496083 -0.001729 -0.000888 0.001947 0.000070 -0.065885 0.439453
-0.057568 0.329615 -0.001333 -0.001154 0.001759 -0.000103 -0.033549 0.257100
-0.010450 0.141606 -0.000798 -0.001260 0.001413 -0.000300 0.019026 0.063061
0.050955 -0.039914 -0.000236 -0.001155 0.000960 -0.000464 0.082668 -0.114642
0.114860 -0.190875 0.000238 -0.000833 0.000445 -0.000538 0.144698 -0.253636
0.168234 -0.295452 0.000524 -0.000330 -0.000096 -0.000483 0.192157 -0.340993
0.200281 -0.348281 0.000566 0.000282 -0.000634 -0.000286 0.215308 -0.374762
0.205502 -0.354231 0.000351 0.000910 -0.001147 0.000037 0.210463 -0.363023
0.185489 -0.325964 -0.000083 0.001460 -0.001610 0.000444 0.181347 -0.320856
0.148891 -0.280011 -0.000658 0.001850 -0.001995 0.000877 0.138560 -0.266079
0.109461 -0.232406 -0.001275 0.002029 -0.002268 0.001279 0.097162 -0.214826
0.082596 -0.194971 -0.001828 0.001979 -0.002393 0.001601 0.072920 -0.178046
0.081193 -0.173103 -0.002224 0.001718 -0.002346 0.001813 0.078098 -0.159663
0.111874 -0.165484 -0.002398 0.001300 -0.002119 0.001906 0.117839 -0.156735
0.172547 -0.165627 -0.002322 0.000801 -0.001731 0.001884 0.188085 -0.161375
0.252025 -0.164686 -0.002006 0.000309 -0.001224 0.001759 0.275628 -0.163820
0.331884 -0.154692 -0.001502 -0.000090 -0.000661 0.001542 0.360401 -0.155737
0.390235 -0.131269 -0.000887 -0.000323 -0.000114 0.001237 0.419567 -0.132875
0.406587 -0.095125 -0.000257 -0.000351 0.000352 0.000848 0.432532 -0.096376
0.366702 -0.051930 0.000294 -0.000166 0.000691 0.000379 0.385773 -0.052446
0.266327 -0.010692 0.000685 0.000196 0.000885 -0.000153 0.276369 -0.010545
0.112890 0.018901 0.000868 0.000667 0.000940 -0.000715 0.113404 0.019379
-0.075249 0.029379 0.000836 0.001157 0.000889 -0.001253 -0.083114 0.029818
-0.271900 0.017838 0.000622 0.001567 0.000773 -0.001697 -0.285665 0.018003
-0.447865 -0.012937 0.000299 0.001815 0.000634 -0.001975 -0.464254 -0.013058
-0.576461 -0.054880 -0.000039 0.001849 0.000503 -0.002030 -0.592050 -0.055092
-0.638608 -0.096500 -0.000298 0.001660 0.000394 -0.001836 -0.650467 -0.096503
-0.626421 -0.125727 -0.000401 0.001284 0.000310 -0.001407 -0.632632 -0.125258
-0.544590 -0.133012 -0.000311 0.000793 0.000242 -0.000805 -0.544568 -0.131993
-0.409316 -0.113900 -0.000040 0.000280 0.000179 -0.000123 -0.403867 -0.112545
0.003041 0.695277 -0.001887 0.000020 0.001673 0.000023 0.005950 0.690513
-0.023689 0.670265 -0.002031 -0.000174 0.001875 0.000076 -0.018243 0.634912
-0.037527 0.565746 -0.001896 -0.000455 0.001831 0.000044 -0.026953 0.503362
-0.030010 0.397271 -0.001495 -0.000722 0.001557 -0.000072 -0.012992 0.315797
0.001911 0.191020 -0.000898 -0.000877 0.001099 -0.000243 0.024806 0.101316
0.054635 -0.021551 -0.000215 -0.000844 0.000522 -0.000423 0.080847 -0.107669
0.118463 -0.209904 0.000424 -0.000589 -0.000106 -0.000551 0.143859 -0.281713
0.179825 -0.350113 0.000896 -0.000124 -0.000727 -0.000576 0.199565 -0.399698
0.224673 -0.428895 0.001113 0.000495 -0.001303 -0.000461 0.234298 -0.452208
0.242190 -0.445200 0.001032 0.001183 -0.001813 -0.000197 0.238657 -0.442318
0.227862 -0.409191 0.000662 0.001841 -0.002245 0.000196 0.210287 -0.383801
0.185123 -0.339001 0.000058 0.002375 -0.002592 0.000673 0.155041 -0.297304
0.125069 -0.256118 -0.000687 0.002711 -0.002844 0.001176 0.086168 -0.205442
0.064236 -0.180509 -0.001468 0.002803 -0.002983 0.001650 0.021641 -0.127950
0.020885 -0.126564 -0.002178 0.002640 -0.002988 0.002047 -0.019841 -0.077904
0.010612 -0.100688 -0.002724 0.002245 -0.002842 0.002341 -0.023291 -0.059769
0.042286 -0.100952 -0.003042 0.001667 -0.002540 0.002521 0.018686 -0.069526
0.115292 -0.118703 -0.003097 0.000983 -0.002096 0.002591 0.103470 -0.096695
0.218758 -0.141609 -0.002889 0.000280 -0.001548 0.002559 0.218085 -0.127652
0.333058 -0.157317 -0.002455 -0.000347 -0.000953 0.002428 0.341108 -0.149378
0.433361 -0.156793 -0.001858 -0.000811 -0.000375 0.002196 0.446525 -0.152749
0.494546 -0.136580 -0.001182 -0.001046 0.000123 0.001854 0.508816 -0.134635
0.496478 -0.099470 -0.000523 -0.001018 0.000494 0.001395 0.508230 -0.098370
0.428548 -0.053506 0.000028 -0.000736 0.000718 0.000827 0.435182 -0.052566
0.292475 -0.009640 0.000400 -0.000248 0.000801 0.000175 0.292813 -0.008636
0.102726 0.021326 0.000558 0.000359 0.000772 -0.000507 0.097121 0.022342
-0.115608 0.031718 0.000506 0.000975 0.000675 -0.001144 -0.125461 0.032608
-0.331137 0.019143 0.000295 0.001491 0.000555 -0.001652 -0.342623 0.019830
-0.511862 -0.012742 0.000007 0.001816 0.000448 -0.001952 -0.522031 -0.012195
-0.631116 -0.055037 -0.000258 0.001900 0.000376 -0.001994 -0.637321 -0.054430
-0.672561 -0.095791 -0.000406 0.001743 0.000342 -0.001764 -0.673025 -0.094860
-0.633216 -0.123048 -0.000376 0.001392 0.000335 -0.001298 -0.627436 -0.121587
-0.523888 -0.127994 -0.000152 0.000931 0.000338 -0.000673 -0.512778 -0.125989
0.041424 0.668675 -0.002056 0.000223 0.001849 -0.000024 0.041148 0.633317
0.014796 0.590257 -0.001966 0.000027 0.001772 0.000028 0.017036 0.525903
0.002807 0.436664 -0.001582 -0.000230 0.001432 -0.000009 0.009999 0.350461
0.013194 0.230880 -0.000951 -0.000441 0.000876 -0.000127 0.026150 0.133920
0.047298 0.004915 -0.000175 -0.000511 0.000183 -0.000291 0.064702 -0.089691
0.099282 -0.206532 0.000613 -0.000378 -0.000558 -0.000451 0.117749 -0.285920
0.157271 -0.372720 0.001275 -0.000027 -0.001268 -0.000550 0.171961 -0.426401
0.206142 -0.472414 0.001696 0.000510 -0.001886 -0.000540 0.211780 -0.493855
0.231297 -0.497268 0.001805 0.001161 -0.002381 -0.000392 0.223346 -0.484653
0.222486 -0.452488 0.001585 0.001835 -0.002749 -0.000101 0.198178 -0.408581
0.176768 -0.354819 0.001073 0.002436 -0.003000 0.000308 0.135763 -0.286056
0.099873 -0.228458 0.000345 0.002884 -0.003151 0.000790 0.044400 -0.143520
0.005613 -0.099860 -0.000499 0.003124 -0.003215 0.001294 -0.059917 -0.008079
-0.086587 0.007455 -0.001358 0.003125 -0.003193 0.001768 -0.156386 0.097543
-0.155552 0.077060 -0.002136 0.002887 -0.003075 0.002177 -0.223484 0.158773
-0.182842 0.102024 -0.002760 0.002429 -0.002849 0.002501 -0.243441 0.171082
-0.156927 0.085239 -0.003177 0.001793 -0.002507 0.002738 -0.206215 0.139802
-0.076185 0.037757 -0.003358 0.001036 -0.002054 0.002894 -0.112150 0.078071
0.049934 -0.024346 -0.003298 0.000230 -0.001517 0.002975 0.027257 0.003452
0.201898 -0.083868 -0.003012 -0.000540 -0.000941 0.002980 0.190698 -0.066040
0.353141 -0.126288 -0.002539 -0.001184 -0.000382 0.002892 0.350371 -0.115674
0.474687 -0.142714 -0.001938 -0.001620 0.000101 0.002688 0.476744 -0.136804
0.540521 -0.131409 -0.001288 -0.001785 0.000462 0.002343 0.543937 -0.128214
0.532721 -0.097643 -0.000674 -0.001650 0.000676 0.001845 0.534753 -0.095789
0.445322 -0.051972 -0.000180 -0.001234 0.000745 0.001203 0.444361 -0.050665
0.286102 -0.007370 0.000135 -0.000600 0.000694 0.000460 0.281855 -0.006264
0.075819 0.024104 0.000245 0.000147 0.000568 -0.000314 0.069239 0.025085
-0.155092 0.034339 0.000168 0.000881 0.000418 -0.001025 -0.162101 0.035173
-0.371818 0.021175 -0.000033 0.001482 0.000289 -0.001578 -0.376885 0.021893
-0.541506 -0.011095 -0.000266 0.001859 0.000212 -0.001893 -0.542373 -0.010335
-0.639405 -0.052881 -0.000433 0.001966 0.000198 -0.001925 -0.634505 -0.051789
-0.653529 -0.091836 -0.000451 0.001817 0.000238 -0.001674 -0.642446 -0.090078
-0.586861 -0.116176 -0.000279 0.001474 0.000311 -0.001190 -0.570546 -0.113511
0.063316 0.562860 -0.001934 0.000507 0.001791 0.000011 0.056884 0.500607
0.034927 0.435247 -0.001596 0.000283 0.001418 0.000065 0.031137 0.349156
0.022935 0.245241 -0.000973 0.000025 0.000792 0.000026 0.024073 0.145844
0.033804 0.022609 -0.000149 -0.000158 0.000000 -0.000090 0.040194 -0.076500
0.066720 -0.196506 0.000747 -0.000180 -0.000850 -0.000246 0.076367 -0.281006
0.113384 -0.376658 0.001566 0.000003 -0.001651 -0.000392 0.122242 -0.433935
0.159827 -0.489777 0.002172 0.000385 -0.002320 -0.000476 0.162614 -0.510963
0.189746 -0.520105 0.002469 0.000911 -0.002805 -0.000457 0.181104 -0.501329
0.188548 -0.466494 0.002420 0.001497 -0.003095 -0.000315 0.164250 -0.409166
0.147128 -0.341820 0.002047 0.002053 -0.003211 -0.000053 0.105034 -0.251967
0.064513 -0.169852 0.001421 0.002501 -0.003197 0.000302 0.005071 -0.056745
-0.051198 0.019603 0.000638 0.002786 -0.003098 0.000708 -0.125008 0.145180
-0.183788 0.196209 -0.000199 0.002884 -0.002953 0.001120 -0.267005 0.323682
-0.311574 0.334223 -0.001003 0.002793 -0.002778 0.001504 -0.398154 0.454613
-0.411229 0.416361 -0.001710 0.002527 -0.002574 0.001838 -0.495060 0.523153
-0.462077 0.435895 -0.002284 0.002103 -0.002324 0.002121 -0.537900 0.525336
-0.450091 0.396793 -0.002704 0.001541 -0.002010 0.002363 -0.514161 0.467701
-0.370901 0.312088 -0.002962 0.000867 -0.001621 0.002580 -0.421309 0.365326
-0.231276 0.200873 -0.003051 0.000117 -0.001163 0.002779 -0.267929 0.238675
-0.048769 0.084528 -0.002968 -0.000657 -0.000665 0.002953 -0.073095 0.109831
0.150523 -0.017184 -0.002717 -0.001380 -0.000172 0.003075 0.136044 -0.001293
0.335827 -0.089488 -0.002319 -0.001965 0.000264 0.003100 0.328203 -0.080166
0.476658 -0.124891 -0.001815 -0.002323 0.000592 0.002979 0.472916 -0.119776
0.548114 -0.124016 -0.001268 -0.002387 0.000778 0.002674 0.545757 -0.121328
0.535567 -0.094828 -0.000756 -0.002128 0.000816 0.002167 0.532912 -0.093372
0.437831 -0.050415 -0.000355 -0.001572 0.000721 0.001479 0.434207 -0.049503
0.268065 -0.005749 -0.000118 -0.000800 0.000537 0.000669 0.263837 -0.005072
0.052032 0.025874 -0.000063 0.000067 0.000317 -0.000172 0.048440 0.026413
-0.176159 0.035932 -0.000158 0.000889 0.000118 -0.000937 -0.177341 0.036389
-0.380153 0.022580 -0.000333 0.001536 -0.000017 -0.001520 -0.377092 0.023107
-0.528136 -0.009141 -0.000493 0.001920 -0.000060 -0.001842 -0.519479 -0.008230
-0.598932 -0.048876 -0.000545 0.002009 -0.000012 -0.001862 -0.584283 -0.047136
